Country,Vlookup value,Year,Year (copy),Anomaly Standardised,CO2 Emissions,Number of Records,Temperature
AFG,AFG1901,1901,1901,0.218985806,0,1,13.103205833
AFG,AFG1902,1902,1902,0.453443306,0,1,13.337663333
AFG,AFG1903,1903,1903,-0.792136694,0,1,12.092083333
AFG,AFG1904,1904,1904,-0.264734194,0,1,12.619485833
AFG,AFG1905,1905,1905,-0.411922528,0,1,12.4722975
AFG,AFG1906,1906,1906,0.106250806,0,1,12.990470833
AFG,AFG1907,1907,1907,-0.596025028,0,1,12.288195
AFG,AFG1908,1908,1908,-0.366416694,0,1,12.517803333
AFG,AFG1909,1909,1909,-0.089664194,0,1,12.794555833
AFG,AFG1910,1910,1910,-0.838856694,0,1,12.045363333
AFG,AFG1911,1911,1911,-0.613244194,0,1,12.270975833
AFG,AFG1912,1912,1912,0.013812472,0,1,12.8980325
AFG,AFG1913,1913,1913,-0.240330861,0,1,12.643889167
AFG,AFG1914,1914,1914,0.435479972,0,1,13.3197
AFG,AFG1915,1915,1915,1.040875806,0,1,13.925095833
AFG,AFG1916,1916,1916,-0.411491694,0,1,12.472728333
AFG,AFG1917,1917,1917,0.265083306,0,1,13.149303333
AFG,AFG1918,1918,1918,-0.983016694,0,1,11.901203333
AFG,AFG1919,1919,1919,-0.859918361,0,1,12.024301667
AFG,AFG1920,1920,1920,-1.278029194,0,1,11.606190833
AFG,AFG1921,1921,1921,-0.435569194,0,1,12.448650833
AFG,AFG1922,1922,1922,0.073837472,0,1,12.9580575
AFG,AFG1923,1923,1923,-0.935144194,0,1,11.949075833
AFG,AFG1924,1924,1924,-0.670024194,0,1,12.214195833
AFG,AFG1925,1925,1925,-0.172954194,0,1,12.711265833
AFG,AFG1926,1926,1926,-0.148990861,0,1,12.735229167
AFG,AFG1927,1927,1927,-0.128875861,0,1,12.755344167
AFG,AFG1928,1928,1928,-0.530277528,0,1,12.3539425
AFG,AFG1929,1929,1929,-0.826505861,0,1,12.057714167
AFG,AFG1930,1930,1930,-0.851181694,0,1,12.033038333
AFG,AFG1931,1931,1931,-0.838076694,0,1,12.046143333
AFG,AFG1932,1932,1932,-0.502883361,0,1,12.381336667
AFG,AFG1933,1933,1933,-0.418108361,0,1,12.466111667
AFG,AFG1934,1934,1934,-0.934755861,0,1,11.949464167
AFG,AFG1935,1935,1935,-0.890836694,0,1,11.993383333
AFG,AFG1936,1936,1936,-0.233043361,0,1,12.651176667
AFG,AFG1937,1937,1937,-0.812398361,0,1,12.071821667
AFG,AFG1938,1938,1938,-0.094433361,0,1,12.789786667
AFG,AFG1939,1939,1939,-0.000878361,0,1,12.883341667
AFG,AFG1940,1940,1940,0.573078306,0,1,13.457298333
AFG,AFG1941,1941,1941,1.199330806,0,1,14.083550833
AFG,AFG1942,1942,1942,0.191814972,0,1,13.076035
AFG,AFG1943,1943,1943,-0.481014194,0,1,12.403205833
AFG,AFG1944,1944,1944,0.165104139,0,1,13.049324167
AFG,AFG1945,1945,1945,-0.536029194,0,1,12.348190833
AFG,AFG1946,1946,1946,0.211946639,0,1,13.096166667
AFG,AFG1947,1947,1947,0.833133306,0,1,13.717353333
AFG,AFG1948,1948,1948,0.141900806,0,1,13.026120833
AFG,AFG1949,1949,1949,-0.913027528,0.01468,1,11.9711925
AFG,AFG1950,1950,1950,-1.372885861,0.08441,1,11.511334167
AFG,AFG1951,1951,1951,-0.222457528,0.09175,1,12.6617625
AFG,AFG1952,1952,1952,-0.074572528,0.09175,1,12.8096475
AFG,AFG1953,1953,1953,0.453960806,0.10643,1,13.338180833
AFG,AFG1954,1954,1954,-0.576840028,0.10643,1,12.30738
AFG,AFG1955,1955,1955,0.362402472,0.15414,1,13.2466225
AFG,AFG1956,1956,1956,-0.204073361,0.1835,1,12.680146667
